Date,Surface Pressure,Specific Humidity,Relative Humidity,Rainfall,Temperature,Temperature range,Temperature max,Temperature min
2013-1-1,97.92,14.53,72.56,3.34,25.3,-260.96,31.85,19.66
2013-1-2,98,13.31,71.38,2.34,24.11,-261.6,30.62,19.08
2013-1-3,98.19,9.09,60.75,0.02,20.8,-258.13,29.19,14.17
2013-1-4,98.12,8.42,56.5,0,20.07,-255.73,29.13,11.71
2013-1-5,97.85,9.89,63.5,0,21.42,-256.49,31.1,14.45
2013-1-6,98.01,7.45,53.06,0,19.42,-255.56,29.15,11.57
2013-1-7,98.22,5.98,46.81,0,17.94,-255.7,27.27,9.82
2013-1-8,98.41,4.15,35.19,0,17.15,-254.76,26.8,8.41
2013-1-9,98.4,4.46,36.12,0,17.7,-253.64,27.95,8.44
2013-1-10,98.31,4.94,39.75,0,18.68,-253.65,28.87,9.37
2013-1-11,98.39,4.52,34.88,0,19.48,-254.12,28.67,9.64
2013-1-12,98.46,4.46,33.25,0,20.05,-252.87,29.64,9.36
2013-1-13,98.23,5.49,34.81,0,22.35,-253.83,31.89,12.57
2013-1-14,98.13,5.43,32.25,0,23.43,-253.99,32.95,13.79
2013-1-15,98.19,5.68,34.06,0,23.37,-254.38,33.42,14.65
2013-1-16,98.25,7.2,43.75,0,22.76,-254.27,33.06,14.18
2013-1-17,98.26,7.93,46.5,0,23.37,-255.74,32.76,15.34
2013-1-18,98.28,8.18,47.25,0,23.65,-257.7,32.33,16.88
2013-1-19,98.44,7.39,48.56,0,21.23,-258.03,29.36,14.24
2013-1-20,98.44,5.49,38.38,0,20.44,-256.98,29.18,13.01
2013-1-21,98.53,5.19,36.31,0,19.79,-255.56,28.76,11.18
2013-1-22,98.51,6.1,41.12,0.14,20.55,-255.45,29.84,12.14
2013-1-23,98.45,8.3,52.06,8.37,21.4,-258.04,29.49,14.38
2013-1-24,98.41,9.46,58.5,2,21.71,-260.74,28.86,16.44
2013-1-25,98.46,9.58,60.19,0.05,21.57,-260.43,28.98,16.25
